restaurant_id,restaurant_name,City,Locality,Cuisines,price_range,Votes,avg_cost_for_two,Rating,cuisine_count,primary_cuisine,country,is_rated,service_score
6318213,Balay Dako,Tagaytay City,Tagaytay City,Filipino,3,211,1200,4.5,1,Filipino,Philippines,1,1
18255654,Hobing Korean Dessert Cafe,Taguig City,BGC Stopover Pavillion| Bonifacio Global City,Cafe| Korean| Desserts,2,118,600,4.5,1,Cafe| Korean| Desserts,Philippines,1,0
6308205,Wildflour Cafe + Bakery,Taguig City,Bonifacio Global City,Cafe| Bakery| American| Italian,4,392,1500,4.4,1,Cafe| Bakery| American| Italian,Philippines,1,1
6315438,NIU by Vikings,Taguig City,SM Aura Premier| Bonifacio Global City| Taguig City,Seafood| American| Mediterranean| Japanese,4,535,3000,4.7,1,Seafood| American| Mediterranean| Japanese,Philippines,1,1
6310406,The Food Hall by Todd English,Taguig City,SM Aura Premier| Bonifacio Global City| Taguig City,American| Asian| Italian| Seafood,4,618,1800,4.5,1,American| Asian| Italian| Seafood,Philippines,1,1
6600681,Chez Michou,Bras?lia,Asa Norte,Fast Food| French,2,6,55,3.0,1,Fast Food| French,Brazil,1,0
6601005,Caf? Daniel Briand,Bras?lia,Asa Norte,Cafe,1,9,30,3.8,1,Cafe,Brazil,1,0
6600292,Casa do Biscoito Mineiro,Bras?lia,Asa Norte,Bakery,2,11,45,3.7,1,Bakery,Brazil,1,0
6600441,Maori,Bras?lia,Asa Norte,Brazilian,3,11,60,3.8,1,Brazilian,Brazil,1,0
6600970,Pizza ? Bessa,Bras?lia,Asa Sul,Pizza,2,11,50,3.2,1,Pizza,Brazil,1,0
6600379,Sushi Loko,Bras?lia,Asa Sul,Japanese,3,10,80,3.1,1,Japanese,Brazil,1,0
6600214,Beirute,Bras?lia,Asa Sul,Arabian,3,8,90,3.7,1,Arabian,Brazil,1,0
6601218,New Koto,Bras?lia,Asa Sul,Japanese,4,5,200,3.7,1,Japanese,Brazil,1,0
6600060,Sandubas Caf?,Bras?lia,Asa Sul,Brazilian| Cafe,1,2,30,1.0,1,Brazilian| Cafe,Brazil,1,0
6600083,Villa Tevere,Bras?lia,Asa Sul,Italian,4,12,150,4.1,1,Italian,Brazil,1,0
6601515,Rovereto,Bras?lia,?guas Claras,Pizza,4,9,100,3.1,1,Pizza,Brazil,1,0
6601361,Buena Carne,Bras?lia,?guas Claras,Bar Food| Brazilian,3,9,60,3.6,1,Bar Food| Brazilian,Brazil,1,0
6601602,Taco Pep,Bras?lia,?guas Claras,Mexican| Grill,4,29,100,4.3,1,Mexican| Grill,Brazil,1,0
6601589,Coco Bambu,Bras?lia,Bras?lia Shopping| Asa Norte,International,4,17,230,4.2,1,International,Brazil,1,0
6601862,Tayp?,Bras?lia,Lago Sul,Peruvian| Latin American,4,5,100,3.6,1,Peruvian| Latin American,Brazil,1,0
6601595,Outback Steakhouse,Bras?lia,ParkShopping| Guar? I,American| Grill,4,10,150,4.0,1,American| Grill,Brazil,1,0
6601158,Manzu?,Bras?lia,Pont?o Lago Sul| Lago Sul,Seafood,4,6,240,3.2,1,Seafood,Brazil,1,0
6600427,Coco Bambu,Bras?lia,Setor De Clubes Esportivos Sul,International,4,30,230,4.9,1,International,Brazil,1,0
6600116,Gero,Bras?lia,Shopping Iguatemi| Lago Norte,Italian,4,8,350,3.3,1,Italian,Brazil,1,0
6601457,Brazilian American Burgers,Bras?lia,Sudoeste,American| Burger,2,9,50,3.6,1,American| Burger,Brazil,1,0
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,Barra da Tijuca,Seafood| Bar Food| Brazilian,4,7,140,4.0,1,Seafood| Bar Food| Brazilian,Brazil,1,0
7304307,Confeitaria Colombo,Rio de Janeiro,Centro,Desserts| Cafe,4,29,100,4.8,1,Desserts| Cafe,Brazil,1,0
7301215,Bibi,Rio de Janeiro,Copacabana,Juices| Healthy Food,3,24,60,4.7,1,Juices| Healthy Food,Brazil,1,0
7300596,Cervantes,Rio de Janeiro,Copacabana,Beverages| Bar Food| Fast Food,3,29,90,4.5,1,Beverages| Bar Food| Fast Food,Brazil,1,0
7300612,Amir,Rio de Janeiro,Copacabana,Lebanese,4,11,170,4.2,1,Lebanese,Brazil,1,0
7300704,TT Burger,Rio de Janeiro,Galeria River| Copacabana,Burger,3,19,60,4.8,1,Burger,Brazil,1,0
7300955,Braseiro da G?vea,Rio de Janeiro,G?vea,Brazilian| Bar Food,4,40,100,4.9,1,Brazilian| Bar Food,Brazil,1,0
7300521,Balada Mix,Rio de Janeiro,Ipanema,Brazilian| Healthy Food| Juices| Pizza,3,21,90,4.6,1,Brazilian| Healthy Food| Juices| Pizza,Brazil,1,0
7300515,Garota de Ipanema,Rio de Janeiro,Ipanema,Brazilian| Bar Food,4,49,120,4.9,1,Brazilian| Bar Food,Brazil,1,0
7300483,Zaz? Bistr? Tropical,Rio de Janeiro,Ipanema,Brazilian,4,21,170,4.6,1,Brazilian,Brazil,1,0
7301064,Fil? de Ouro,Rio de Janeiro,Lagoa,Brazilian,3,14,90,4.3,1,Brazilian,Brazil,1,0
7304312,D.O.C Ristorante,Rio de Janeiro,Le Monde| Barra da Tijuca,Italian,4,5,150,4.0,1,Italian,Brazil,1,0
7300004,Sushi Leblon,Rio de Janeiro,Leblon,Japanese,4,25,250,4.6,1,Japanese,Brazil,1,0
7300868,Talho Capixaba,Rio de Janeiro,Leblon,Bakery| Sandwich| Brazilian,4,13,120,4.4,1,Bakery| Sandwich| Brazilian,Brazil,1,0
7302637,Leme Light,Rio de Janeiro,Leme,Brazilian,2,7,40,4.2,1,Brazilian,Brazil,1,0
7302140,Shirley,Rio de Janeiro,Leme,Brazilian| Seafood,4,8,250,4.2,1,Brazilian| Seafood,Brazil,1,0
7305048,Quiosque Chopp Brahma,Rio de Janeiro,Madureira,Bar Food| Brazilian,3,1,70,1.0,1,Bar Food| Brazilian,Brazil,1,0
7302898,Apraz?vel,Rio de Janeiro,Santa Teresa,Brazilian,4,44,300,4.7,1,Brazilian,Brazil,1,0
7302859,Aconchego Carioca,Rio de Janeiro,Tijuca,Brazilian| Bar Food,3,24,85,4.6,1,Brazilian| Bar Food,Brazil,1,0
7301700,Garota de Ipanema,Rio de Janeiro,Urca,Brazilian| Bar Food,3,10,80,4.3,1,Brazilian| Bar Food,Brazil,1,0
6706313,Cantina Famiglia Mancini,S?o Paulo,Bela Vista| Centro,Italian| Pizza,4,49,250,4.5,1,Italian| Pizza,Brazil,1,0
6704326,Templo da Carne - Marcos Bassi,S?o Paulo,Bela Vista| Centro,Steak| BBQ,4,17,250,4.4,1,Steak| BBQ,Brazil,1,0
6711179,Gopala Hari,S?o Paulo,Consola??o,Indian,3,5,70,3.1,1,Indian,Brazil,1,0
6702797,Jiquitaia,S?o Paulo,Consola??o,Brazilian,4,15,100,4.1,1,Brazilian,Brazil,1,0
6700475,Skye - Hotel Unique,S?o Paulo,Hotel Unique| Jardim Paulista,Beverages| International,4,59,300,4.8,1,Beverages| International,Brazil,1,0
6713413,Les 3 Brasseurs,S?o Paulo,Itaim Bibi,French| Brazilian| Beverages,4,30,120,4.6,1,French| Brazilian| Beverages,Brazil,1,0
6714340,Red Steak & Burger,S?o Paulo,Itaim Bibi,Brazilian| Grill,3,5,75,3.9,1,Brazilian| Grill,Brazil,1,0
6710645,Cantinho da Gula,S?o Paulo,Itaim Bibi,Brazilian,2,0,55,4.3,1,Brazilian,Brazil,0,0
6700402,Paris 6 Classique,S?o Paulo,Jardim Paulista,French,4,73,200,3.4,1,French,Brazil,1,0
6700846,Kawa Sushi,S?o Paulo,Jardim Paulista,Sushi| Japanese,4,9,120,3.5,1,Sushi| Japanese,Brazil,1,0
6702159,A Figueira Rubaiyat,S?o Paulo,Jardim Paulista,BBQ| Grill| Brazilian,4,39,300,4.3,1,BBQ| Grill| Brazilian,Brazil,1,0
6711666,Kinoshita,S?o Paulo,Moema,Sushi,4,12,230,3.9,1,Sushi,Brazil,1,0
6701257,Meats,S?o Paulo,Pinheiros,Gourmet Fast Food| Burger,4,68,120,4.3,1,Gourmet Fast Food| Burger,Brazil,1,0
6706211,Paribar,S?o Paulo,Rep?blica,Brazilian| Italian,4,46,150,4.3,1,Brazilian| Italian,Brazil,1,0
6705858,Terra?o It?lia,S?o Paulo,Rep?blica,Italian,4,37,400,4.4,1,Italian,Brazil,1,0
6701419,Divino Fog?o,S?o Paulo,Shopping Metr? Santa Cruz| Vila Mariana,Brazilian| Mineira,3,2,65,1.0,1,Brazilian| Mineira,Brazil,1,0
6703956,Super Grill,S?o Paulo,Shopping Morumbi| Santo Amaro,Brazilian,2,2,50,1.0,1,Brazilian,Brazil,1,0
6709580,Esquina Mocot?,S?o Paulo,Vila Maria,Brazilian| North Eastern,4,22,100,4.4,1,Brazilian| North Eastern,Brazil,1,0
6703176,Veloso,S?o Paulo,Vila Mariana,Brazilian| Bar Food| Beverages,3,58,70,4.6,1,Brazilian| Bar Food| Beverages,Brazil,1,0
6713772,Sainte Marie Gastronomia,S?o Paulo,Vila S?nia,Lebanese| Arabian,4,11,120,4.1,1,Lebanese| Arabian,Brazil,1,0
17284404,Austin's BBQ and Oyster Bar,Albany,Albany,BBQ| Burger| Seafood,2,35,25,3.3,1,BBQ| Burger| Seafood,United States,1,0
17284203,BJ's Country Buffet,Albany,Albany,American| BBQ,1,25,10,3.3,1,American| BBQ,United States,1,0
17284105,Cookie Shoppe,Albany,Albany,Unknown,1,34,0,3.4,1,Unknown,United States,1,0
17284302,El Vaquero Mexican Restaurant,Albany,Albany,Mexican,1,45,0,3.4,1,Mexican,United States,1,0
17284397,Elements Coffee Co - Northwest,Albany,Albany,Coffee and Tea| Sandwich,1,26,10,3.4,1,Coffee and Tea| Sandwich,United States,1,0
17284211,Pearly's Famous Country Cookng,Albany,Albany,Unknown,1,36,0,3.4,1,Unknown,United States,1,0
17284094,Chick-fil-A,Albany,Albany,Fast Food,1,67,10,3.5,1,Fast Food,United States,1,0
17284409,Guang Zhou Chinese Restaurant,Albany,Albany,Asian| Chinese| Vegetarian,1,141,10,3.9,1,Asian| Chinese| Vegetarian,United States,1,0
17284139,Harvest Moon,Albany,Albany,Pizza| Bar Food| Sandwich,2,147,25,3.7,1,Pizza| Bar Food| Sandwich,United States,1,0
17284403,Henry Campbell's Steakhouse,Albany,Albany,Steak| Tapas| Bar Food,4,51,70,3.5,1,Steak| Tapas| Bar Food,United States,1,0
17284145,Hong Kong Cafe,Albany,Albany,Chinese| Seafood| Vegetarian,2,88,25,3.6,1,Chinese| Seafood| Vegetarian,United States,1,0
17284150,House of China Restaurant II,Albany,Albany,Chinese,1,153,10,3.8,1,Chinese,United States,1,0
17284158,Jimmie's Hot Dogs,Albany,Albany,Unknown,1,160,10,3.9,1,Unknown,United States,1,0
17284175,Locos Grill & Pub,Albany,Albany,American| Burger| Sandwich,2,57,25,3.5,1,American| Burger| Sandwich,United States,1,0
17284179,Longhorn Steakhouse,Albany,Albany,American| Steak,2,58,25,3.5,1,American| Steak,United States,1,0
17284197,Mikata Japanese Steakhouse,Albany,Albany,Japanese| Steak| Sushi,3,115,40,3.6,1,Japanese| Steak| Sushi,United States,1,0
17284241,Shogun Japanese Steak House,Albany,Albany,Japanese| Steak| Sushi,3,51,40,3.5,1,Japanese| Steak| Sushi,United States,1,0
17284390,The Catch Seafood Room & Oyster Bar,Albany,Albany,Seafood| Tapas| Bar Food,3,250,40,3.8,1,Seafood| Tapas| Bar Food,United States,1,0
17284279,Villa Gargano,Albany,Albany,Italian| Pizza,1,117,10,3.7,1,Italian| Pizza,United States,1,0
17284364,3 Squares Diner,Albany,Sylvester,American| Breakfast| Diner,1,20,10,3.4,1,American| Breakfast| Diner,United States,1,0
16611114,Whitebull Hotel,Armidale,Armidale,Bar Food| Steak,2,25,20,3.5,1,Bar Food| Steak,Australia,1,0
17293281,Last Resort Grill,Athens,Athens,American| Southern| Southwestern,3,1821,40,4.5,1,American| Southern| Southwestern,United States,1,0
17293301,Mama's Boy Restaurant,Athens,Athens,Southern,1,849,10,4.5,1,Southern,United States,1,0
17293409,Sr. Sol 1,Athens,Athens,Mexican,1,917,10,4.6,1,Mexican,United States,1,0
17293163,Choo Choo Eastside,Athens,Athens,Japanese| Korean,1,439,10,3.9,1,Japanese| Korean,United States,1,0
17293228,The Grill,Athens,Athens,Breakfast| Burger| Sandwich,1,289,10,3.7,1,Breakfast| Burger| Sandwich,United States,1,0
17293880,Big City Bread Cafe,Athens,Athens,Breakfast| Sandwich,1,558,10,4.3,1,Breakfast| Sandwich,United States,1,0
17293169,Clocked,Athens,Athens,American| Burger| Sandwich,1,613,10,4.2,1,American| Burger| Sandwich,United States,1,0
17293186,DePalma's Italian Cafe - Downtown,Athens,Athens,American| Italian| Pizza,2,353,25,4.0,1,American| Italian| Pizza,United States,1,0
17293180,DePalma's Italian Cafe - East Side,Athens,Athens,American| Italian| Pizza,2,387,25,4.1,1,American| Italian| Pizza,United States,1,0
17293205,Five & Ten,Athens,Athens,American,3,755,40,4.3,1,American,United States,1,0
17293229,Grit,Athens,Athens,International| Southern| Vegetarian,1,800,10,4.2,1,International| Southern| Vegetarian,United States,1,0
17293897,Ike & Jane,Athens,Athens,Sandwich,1,350,10,4.1,1,Sandwich,United States,1,0
17293273,La Dolce Vita Ristorante,Athens,Athens,Italian,3,464,40,4.1,1,Italian,United States,1,0
17293870,Shokitini,Athens,Athens,Asian| Japanese| Sushi,2,550,25,4.2,1,Asian| Japanese| Sushi,United States,1,0
17293877,Taqueria Del Sol,Athens,Athens,Mexican| Spanish,1,543,10,4.1,1,Mexican| Spanish,United States,1,0
17293890,The National,Athens,Athens,International| Southern,3,465,40,4.1,1,International| Southern,United States,1,0
17293915,The Royal Peasant,Athens,Athens,Bar Food,1,546,10,4.4,1,Bar Food,United States,1,0
17293422,Transmetropolitan,Athens,Athens,Italian| Pizza| Sandwich,1,1098,10,4.4,1,Italian| Pizza| Sandwich,United States,1,0
17293873,Trappeze Pub,Athens,Athens,Burger| Bar Food,2,579,25,4.2,1,Burger| Bar Food,United States,1,0
17294014,Viva! Argentine Cuisine,Athens,Athens,Desserts| Latin American| Argentine,1,374,10,4.1,1,Desserts| Latin American| Argentine,United States,1,0
17294556,Miyabi Kyoto Japanese Steak House,Augusta,Augusta,Chinese| Steak,3,717,40,4.6,1,Chinese| Steak,United States,1,0
17294607,Rae's Coastal Cafe,Augusta,Augusta,American| Caribbean| Seafood,3,548,40,4.9,1,American| Caribbean| Seafood,United States,1,0
17294279,The Bee's Knees,Augusta,Augusta,International| Tapas| Vegetarian,2,631,25,4.5,1,International| Tapas| Vegetarian,United States,1,0
17294300,Boll Weevil Cafe,Augusta,Augusta,Desserts| Sandwich| Southern,1,372,10,3.9,1,Desserts| Sandwich| Southern,United States,1,0
17295215,Farmhaus Burger,Augusta,Augusta,American| Burger,2,201,25,3.9,1,American| Burger,United States,1,0
17295028,Manuel's Bread Cafe,Augusta,Augusta,Breakfast| French,3,332,40,3.8,1,Breakfast| French,United States,1,0
17294642,Sconyers Bar B Que,Augusta,Augusta,BBQ,2,304,25,3.5,1,BBQ,United States,1,0
17295109,Frog Hollow Tavern,Augusta,Augusta,American,3,368,40,4.3,1,American,United States,1,0
17294441,Giuseppe's Pizza & Italian Specialities,Augusta,Augusta,Desserts| Italian| Pizza,2,430,25,4.1,1,Desserts| Italian| Pizza,United States,1,0
17294552,Mellow Mushroom,Augusta,Augusta,Italian| Pizza| Sandwich,2,433,25,4.4,1,Italian| Pizza| Sandwich,United States,1,0
17294565,Nacho Mamas Burritos,Augusta,Augusta,Mexican,1,380,10,4.0,1,Mexican,United States,1,0
17294623,Rhinehart's Oyster Bar,Augusta,Augusta,Bar Food| Sandwich| Seafood,2,456,25,4.0,1,Bar Food| Sandwich| Seafood,United States,1,0
17294712,Takosushi,Augusta,Augusta,Mexican| Southwestern| Sushi,3,647,40,4.2,1,Mexican| Southwestern| Sushi,United States,1,0
17295033,The Chop House,Augusta,Augusta,Steak,3,360,40,4.0,1,Steak,United States,1,0
17295069,The Taj of India,Augusta,Augusta,Indian,2,227,25,4.0,1,Indian,United States,1,0
17294261,Augsburg Haus,Augusta,Evans,German,2,290,25,3.9,1,German,United States,1,0
17295115,Pho Bac,Augusta,Evans,Vietnamese,1,270,10,4.1,1,Vietnamese,United States,1,0
17294836,Rhinehart's Oyster Bar,Augusta,Evans,Burger| Seafood,2,326,25,4.0,1,Burger| Seafood,United States,1,0
17294850,Thai Kitchen,Augusta,Evans,Thai,3,317,35,4.3,1,Thai,United States,1,0
17294883,El Kiosco Mexican Restaurant,Augusta,Grovetown,Mexican,1,300,10,4.2,1,Mexican,United States,1,0
16608864,Taste of Balingup,Balingup,Balingup,Modern Australian,2,21,20,3.2,1,Modern Australian,Australia,1,0
16604911,Bridge Road Brewers,Beechworth,Beechworth,Pizza| Bar Food,2,237,20,4.6,1,Pizza| Bar Food,Australia,1,0
17303465,Bardenay,Boise,Boise,American| Bar Food,2,879,25,4.5,1,American| Bar Food,United States,1,0
17303642,Flatbread Neapolitan Pizzeria,Boise,Boise,Italian| Pizza,2,615,25,4.6,1,Italian| Pizza,United States,1,0
17303670,Goldy's Breakfast Bistro,Boise,Boise,Breakfast| Sandwich,2,879,25,4.5,1,Breakfast| Sandwich,United States,1,0
17303545,Chandlers Steakhouse,Boise,Boise,American| Seafood| Steak,4,379,70,3.9,1,American| Seafood| Steak,United States,1,0
17303655,Bar Gernika Basque Pub & Eatery,Boise,Boise,European| Spanish,1,303,10,4.3,1,European| Spanish,United States,1,0
17304691,Barbacoa Restaurant,Boise,Boise,Latin American| Steak,4,538,70,4.1,1,Latin American| Steak,United States,1,0
17303478,Big Jud's,Boise,Boise,American| Burger| Sandwich,1,334,10,4.2,1,American| Burger| Sandwich,United States,1,0
17303480,Bittercreek Ale House,Boise,Boise,American| Bar Food,2,555,25,4.3,1,American| Bar Food,United States,1,0
17304733,Boise Fry Company,Boise,Boise,American| Burger,1,823,10,4.4,1,American| Burger,United States,1,0
17303646,Flying Pie Pizzaria,Boise,Boise,Pizza,2,550,25,4.1,1,Pizza,United States,1,0
17304929,Fork,Boise,Boise,American| Burger,2,650,25,4.4,1,American| Burger,United States,1,0
17303684,Guido's Original New York Style Pizza,Boise,Boise,Pizza,1,410,10,4.3,1,Pizza,United States,1,0
17303772,Los Beto's,Boise,Boise,Mexican,1,660,10,4.4,1,Mexican,United States,1,0
17305123,Lucianos Italian Restaurant,Boise,Boise,Italian| Seafood| Vegetarian,2,360,25,4.4,1,Italian| Seafood| Vegetarian,United States,1,0
17303787,Mai Thai Restaurant,Boise,Boise,Sushi| Thai,3,340,40,4.0,1,Sushi| Thai,United States,1,0
17303990,Shige Japanese Cuisine,Boise,Boise,Japanese| Sushi| Teriyaki,2,393,25,4.1,1,Japanese| Sushi| Teriyaki,United States,1,0
17304741,The Egg Factory,Boise,Boise,Breakfast,1,422,10,4.3,1,Breakfast,United States,1,0
17304726,Tucanos,Boise,Boise,Brazilian,3,435,40,4.0,1,Brazilian,United States,1,0
17304486,Texas Roadhouse,Boise,Meridian,American| BBQ| Steak,2,369,25,4.0,1,American| BBQ| Steak,United States,1,0
17304533,Brick 29,Boise,Nampa,American,3,487,40,4.4,1,American,United States,1,0
17316233,Winifreds,Cedar Rapids/Iowa City,Cedar Rapids,American| Mediterranean| Seafood,3,98,40,3.7,1,American| Mediterranean| Seafood,United States,1,0
17315883,Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,Cedar Rapids,Italian| Pizza,3,365,40,4.1,1,Italian| Pizza,United States,1,0
17315995,El Super Burrito,Cedar Rapids/Iowa City,Cedar Rapids,Mexican,1,190,10,4.1,1,Mexican,United States,1,0
17316018,Granite City Food & Brewery,Cedar Rapids/Iowa City,Cedar Rapids,American| Breakfast| Burger,3,429,40,4.1,1,American| Breakfast| Burger,United States,1,0
17316038,Irish Democrat,Cedar Rapids/Iowa City,Cedar Rapids,American| BBQ| Burger,2,430,25,4.4,1,American| BBQ| Burger,United States,1,0
17316771,Taste of India,Cedar Rapids/Iowa City,Cedar Rapids,Indian,2,186,25,4.2,1,Indian,United States,1,0
17316201,Thai Moon Restaurant,Cedar Rapids/Iowa City,Cedar Rapids,Chinese| Sushi| Thai,1,220,10,4.2,1,Chinese| Sushi| Thai,United States,1,0
17316208,Ting's Red Lantern,Cedar Rapids/Iowa City,Cedar Rapids,Chinese,1,347,10,4.2,1,Chinese,United States,1,0
17316389,Monica's,Cedar Rapids/Iowa City,Coralville,American| Italian| Pizza,2,161,25,3.8,1,American| Italian| Pizza,United States,1,0
17316278,Exotic India,Cedar Rapids/Iowa City,Coralville,Indian,2,160,25,4.1,1,Indian,United States,1,0
17316744,Shorts Burger and Shine,Cedar Rapids/Iowa City,Iowa City,Burger,1,820,10,4.9,1,Burger,United States,1,0
17316751,The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,Iowa City,American| Breakfast| Burger,1,488,10,4.5,1,American| Breakfast| Burger,United States,1,0
17316766,Bluebird Diner,Cedar Rapids/Iowa City,Iowa City,Breakfast| Diner,2,253,25,3.6,1,Breakfast| Diner,United States,1,0
17316743,Graze,Cedar Rapids/Iowa City,Iowa City,American| International| Sushi,3,220,40,3.8,1,American| International| Sushi,United States,1,0
17316374,A & A Pagliai's Pizza,Cedar Rapids/Iowa City,Iowa City,Pizza,2,485,25,4.3,1,Pizza,United States,1,0
17316381,Atlas World Grill,Cedar Rapids/Iowa City,Iowa City,International,3,428,40,4.3,1,International,United States,1,0
17316802,BlackStone,Cedar Rapids/Iowa City,Iowa City,American| Breakfast,2,294,25,4.1,1,American| Breakfast,United States,1,0
17316416,Devotay,Cedar Rapids/Iowa City,Iowa City,Mediterranean| Tapas| Vegetarian,3,380,40,4.0,1,Mediterranean| Tapas| Vegetarian,United States,1,0
17316449,Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,Iowa City,BBQ,2,259,25,4.2,1,BBQ,United States,1,0
17316603,Zoeys Pizzeria,Cedar Rapids/Iowa City,Marion,Pizza| Sandwich,2,433,25,4.7,1,Pizza| Sandwich,United States,1,0
16659169,Tokyo Sushi,Chatham-Kent,Chatham-Kent,Japanese| Sushi,2,176,25,3.7,1,Japanese| Sushi,Canada,1,0
17558684,Berry Patch Restaurant,Clatskanie,Clatskanie,American| Breakfast| Desserts,1,96,10,4.3,1,American| Breakfast| Desserts,United States,1,0
18366580,Sakura Sushi & Grill,Cochrane,Cochrane,Asian| Japanese,2,6,25,3.1,1,Asian| Japanese,United States,1,0
17330755,Uptown Vietnam cuisine,Columbus,Columbus,Asian| Vietnamese,1,33,10,3.3,1,Asian| Vietnamese,United States,1,0
17330611,Cafe Le Rue @ The Landings,Columbus,Columbus,American| Seafood| Cajun,2,489,25,4.6,1,American| Seafood| Cajun,United States,1,0
17330609,Mark's City Grille,Columbus,Columbus,American,2,345,25,4.5,1,American,United States,1,0
17330024,B Merrell's,Columbus,Columbus,Burger| Bar Food| Southern,2,149,25,3.8,1,Burger| Bar Food| Southern,United States,1,0
17330074,Cannon Brewpub,Columbus,Columbus,Pizza| Bar Food,2,330,25,3.9,1,Pizza| Bar Food,United States,1,0
17330185,Fuji Japanese Steak House,Columbus,Columbus,Japanese| Steak,3,247,40,3.9,1,Japanese| Steak,United States,1,0
17330397,Ruth Ann's Family Restaurant,Columbus,Columbus,Breakfast| Diner| Southern,1,123,10,3.7,1,Breakfast| Diner| Southern,United States,1,0
17330735,Samurai Japanese Cuisine & Sushi Bar,Columbus,Columbus,Japanese| Steak| Sushi,3,109,40,3.6,1,Japanese| Steak| Sushi,United States,1,0
17330676,Wasabi Sushi and Thai,Columbus,Columbus,Japanese| Sushi| Thai,3,134,40,3.7,1,Japanese| Sushi| Thai,United States,1,0
17330048,Buckhead Bar and Grill,Columbus,Columbus,Seafood| Steak| Vegetarian,3,722,40,4.2,1,Seafood| Steak| Vegetarian,United States,1,0
17330604,Burt's Butcher Shoppe and Eatery,Columbus,Columbus,Steak,2,213,25,4.3,1,Steak,United States,1,0
17330087,Chef Lee's Peking Restaurant,Columbus,Columbus,Chinese,2,335,25,4.0,1,Chinese,United States,1,0
17330137,Country's Barbecue,Columbus,Columbus,BBQ| Southern,2,353,25,4.0,1,BBQ| Southern,United States,1,0
17330155,Deorio's,Columbus,Columbus,Italian| Pizza,1,170,0,4.0,1,Italian| Pizza,United States,1,0
17330309,Mellow Mushroom,Columbus,Columbus,Pizza,2,192,25,4.1,1,Pizza,United States,1,0
17330311,Meritage,Columbus,Columbus,American| Tapas,3,302,40,4.1,1,American| Tapas,United States,1,0
17330615,Mongo The Mongolian Fire Pit,Columbus,Columbus,Asian| Chinese,1,355,10,4.2,1,Asian| Chinese,United States,1,0
17330638,The Black Cow,Columbus,Columbus,American,2,287,25,4.3,1,American,United States,1,0
